Lp.   Start hashsize  Avg.time put    Avg.time get
1     512             67676500        68068500
2     1024            64747300        65317800
3     2048            64467700        63993900
4     4096            63886500        63121100
5     8192            63886500        63121100
6     16384           63886500        63121100
7     32768           63886500        63121100
8     65536           63886500        63121100
9     131072          63886500        63121100
10    262144          63886500        63121100
