Lp.   Start hashsize  Avg.time put    Avg.time get
1     512             87867400        86785600
2     1024            86108800        83405800
3     2048            86108800        83405800
4     4096            86108800        83405800
5     8192            86108800        83405800
6     16384           86108800        83405800
7     32768           86108800        83405800
8     65536           86108800        83405800
9     131072          86108800        83405800
10    262144          86108800        83405800
